code,product,food subgroup,lci name,preparation,agriculture,transformation,packaging,transport,supermarket_distribution,consumption,total
27025,fish,raw fish,"nile perch, raw",no preparation,5.4155702,0.0,0.27564225,0.90555681,0.036974137,0.0066875618,6.6404309588
27010,fish,raw fish,"european perch, raw",no preparation,4.0724,0.0,0.27564225,0.90555681,0.036974137,0.0066875618,5.297260758799999
26055,fish,raw fish,"european plaice, raw",no preparation,9.3555545,0.0,0.27564225,1.1741883,0.036974137,0.0066875618,10.849046748800001
26052,fish,raw fish,"ray, raw",no preparation,9.3555545,0.0,0.27564225,1.1741883,0.036974137,0.0066875618,10.849046748800001
26063,fish,raw fish,"spiny scorpionfish, raw",no preparation,9.3555545,0.0,0.27564225,1.1741883,0.036974137,0.0066875618,10.849046748800001
26162,fish,raw fish,"shark, raw",no preparation,9.3555545,0.0,0.27564225,1.1741883,0.036974137,0.0066875618,10.849046748800001
26085,fish,raw fish,"surmullet or red mullet, raw",no preparation,5.3654111,0.0,0.27564225,1.0488269,0.036974137,0.0066875618,6.733541948799999
26110,fish,raw fish,"surmullet or red mullet, steamed",oven,6.5514783,0.0,0.33657517,1.2806785,0.045147566,0.094234908,8.308114444000001
26244,fish,raw fish,"surmullet or red mullet, fillet with skin, frozen, raw (from thailand or senegal)",no preparation,5.3654111,0.46078456,0.26918334,1.3652074,0.066174622,0.025304288,7.55206531
26074,fish,raw fish,"nursehound or lesser spotted dogfish, raw",no preparation,9.3555545,0.0,0.27564225,1.1741883,0.036974137,0.0066875618,10.849046748800001
26153,fish,raw fish,"largehead hairtail, raw",no preparation,9.3555545,0.0,0.27564225,1.1741883,0.036974137,0.0066875618,10.849046748800001
26104,fish,raw fish,"john dory, raw",no preparation,9.3555545,0.0,0.27564225,1.1741883,0.036974137,0.0066875618,10.849046748800001
26065,fish,raw fish,"european pilchard or sardine, raw",no preparation,0.71037021,0.0,0.27564225,0.90555681,0.036974137,0.0066875618,1.9352309688
26036,fish,raw fish,"salmon, raw, farmed",no preparation,5.2222317,0.028870642,0.27564225,0.78427194,0.036974137,0.0066875618,6.354678230799999
26111,fish,raw fish,"salema, raw",no preparation,5.3654111,0.0,0.27564225,1.0488269,0.036974137,0.0066875618,6.733541948799999
