code,SOURCE,GROUP,PRODUCT,AGRICULTURE,TRANSFORMATION,PACKAGING,TRANSPORT,SUPERMARKET AND DISTRIBUTION,CONSUMPTION,TOTAL IMPACT,LEVEL
26159,fish,raw fish,"bigeye scad, raw",1.0572894,0,0.27564225,0.87690279,0.036974137,0.006687562,2.253496139,1
26103,fish,raw fish,"common dentex, raw",9.3555545,0,0.27564225,1.1741883,0.036974137,0.006687562,10.84904675,2
26099,fish,raw fish,"black seabream, raw",5.3654111,0,0.27564225,1.0488269,0.036974137,0.006687562,6.733541949,1
26109,fish,raw fish,"blackspot seabream, raw",5.3654111,0,0.27564225,1.0488269,0.036974137,0.006687562,6.733541949,1
26088,fish,raw fish,"gilthead seabream, raw, farmed",11.359006,0,0.27564225,1.0022641,0.036974137,0.006687562,12.68057405,2
26080,fish,raw fish,"gilthead seabream, raw, wild",7.722585,0,0.27564225,1.0022641,0.036974137,0.006687562,9.044153049,2
26122,fish,raw fish,"haddock, raw",9.3555545,0,0.27564225,1.1741883,0.036974137,0.006687562,10.84904675,2
26241,fish,raw fish,"blue shark, fillet, without skin, raw",9.3555545,0,0.27564225,1.1741883,0.036974137,0.006687562,10.84904675,2
26083,fish,raw fish,"pond smelt, raw",0.71037021,0,0.27564225,0.90555681,0.036974137,0.006687562,1.935230969,1
26082,fish,raw fish,"swordfish, raw",3.1435678,0,0.27564225,0.78735897,0.036974137,0.006687562,4.250230719,1
26009,fish,raw fish,"atlantic halibut, raw",3.1435678,0,0.27564225,0.78735897,0.036974137,0.006687562,4.250230719,1
26154,fish,raw fish,"greenland halibut, raw",9.3555545,0,0.27564225,1.1741883,0.036974137,0.006687562,10.84904675,2
26128,fish,raw fish,"roundnose grenadier, raw",9.3555545,0,0.27564225,1.1741883,0.036974137,0.006687562,10.84904675,2
26214,fish,raw fish,"blue grenadier, raw",5.3830611,0,0.27564225,1.0846444,0.036974137,0.006687562,6.787009449,1
26219,fish,raw fish,"tub gurnard, raw",9.3555545,0,0.27564225,1.1741883,0.036974137,0.006687562,10.84904675,2
26106,fish,raw fish,"red gurnard, raw",5.3654111,0,0.27564225,1.0488269,0.036974137,0.006687562,6.733541949,1
26238,fish,raw fish,"atlantic herring, oily, raw",1.0832105,0,0.27564225,0.90555681,0.036974137,0.006687562,2.308071259,1
26237,fish,raw fish,"atlantic herring, lean, raw",1.0832105,0,0.27564225,0.90555681,0.036974137,0.006687562,2.308071259,1
26011,fish,raw fish,"atlantic herring, raw",1.0832105,0,0.27564225,0.90555681,0.036974137,0.006687562,2.308071259,1
26213,fish,raw fish,"grenadier, from any fishing spot, raw",9.3555545,0,0.27564225,1.1741883,0.036974137,0.006687562,10.84904675,2
26240,fish,raw fish,"big-scale sand smelt (whole small fish), to fry, raw",0.28644409,0,0.27564225,0.90555681,0.036974137,0.006687562,1.511304849,1
26130,fish,raw fish,"ling, raw",9.3555545,0,0.27564225,1.1741883,0.036974137,0.006687562,10.84904675,2
26129,fish,raw fish,"pollack, raw",9.3555545,0,0.27564225,1.1741883,0.036974137,0.006687562,10.84904675,2
26134,fish,raw fish,"saithe, raw",4.6079003,0,0.27564225,0.95570134,0.036974137,0.006687562,5.882905589,1
26047,fish,raw fish,"saithe, frozen, raw",2.8637885,0.46078456,0.26918334,0.66557938,0.066174622,0.025304288,4.35081469,1
26006,fish,raw fish,"alaska pollock, raw",9.3555545,0,0.27564225,1.1741883,0.036974137,0.006687562,10.84904675,2
26057,fish,raw fish,"common dab, raw",9.3555545,0,0.27564225,1.1741883,0.036974137,0.006687562,10.84904675,2
26135,fish,raw fish,"lemon sole, raw",9.3555545,0,0.27564225,1.1741883,0.036974137,0.006687562,10.84904675,2
26194,fish,raw fish,"blue ling, raw",9.3555545,0,0.27564225,1.1741883,0.036974137,0.006687562,10.84904675,2
26018,fish,raw fish,"anglerfish, raw",9.3555545,0,0.27564225,1.1741883,0.036974137,0.006687562,10.84904675,2
26172,fish,raw fish,spotted wolffish,9.3555545,0,0.27564225,1.1741883,0.036974137,0.006687562,10.84904675,2
26102,fish,raw fish,"atlantic chub mackerel, raw",1.0572894,0,0.27564225,0.87690279,0.036974137,0.006687562,2.253496139,1
26051,fish,raw fish,"mackerel, raw",1.0572894,0,0.27564225,0.87690279,0.036974137,0.006687562,2.253496139,1
26095,fish,raw fish,"whiting, raw",9.3555545,0,0.27564225,1.1741883,0.036974137,0.006687562,10.84904675,2
26233,fish,raw fish,"shallow-water cape hake, raw",5.3830611,0,0.26918334,1.0846444,0.036974137,0.006687562,6.780550539,1
26044,fish,raw fish,"european hake, raw",5.3830611,0,0.27564225,1.0846444,0.036974137,0.006687562,6.787009449,1
26048,fish,raw fish,"hake, fillet, frozen, raw",5.3830611,0.46078456,0.26918334,1.0846444,0.066174622,0.025304288,7.28915231,1
26178,fish,raw fish,"grouper, raw",3.1435678,0,0.27564225,0.78735897,0.036974137,0.006687562,4.250230719,1
26098,fish,raw fish,"cod, salted, dried",9.3555545,0,0.27564225,1.1741883,0.036974137,0.006687562,10.84904675,2
26091,fish,raw fish,"mullet, raw",9.3555545,0,0.27564225,1.1741883,0.036974137,0.006687562,10.84904675,2
26171,fish,raw fish,"arctic char, raw",4.0724,0,0.27564225,0.90555681,0.036974137,0.006687562,5.297260759,1
26166,fish,raw fish,"garfish, raw",0.71037021,0,0.27564225,0.90555681,0.036974137,0.006687562,1.935230969,1
27017,fish,raw fish,"brown bullhead, raw",11.359006,0,0.27564225,1.0022641,0.036974137,0.006687562,12.68057405,2
27025,fish,raw fish,"nile perch, raw",5.4155702,0,0.27564225,0.90555681,0.036974137,0.006687562,6.640430959,1
27010,fish,raw fish,"european perch, raw",4.0724,0,0.27564225,0.90555681,0.036974137,0.006687562,5.297260759,1
26055,fish,raw fish,"european plaice, raw",9.3555545,0,0.27564225,1.1741883,0.036974137,0.006687562,10.84904675,2
26052,fish,raw fish,"ray, raw",9.3555545,0,0.27564225,1.1741883,0.036974137,0.006687562,10.84904675,2
26063,fish,raw fish,"spiny scorpionfish, raw",9.3555545,0,0.27564225,1.1741883,0.036974137,0.006687562,10.84904675,2
26162,fish,raw fish,"shark, raw",9.3555545,0,0.27564225,1.1741883,0.036974137,0.006687562,10.84904675,2
26085,fish,raw fish,"surmullet or red mullet, raw",5.3654111,0,0.27564225,1.0488269,0.036974137,0.006687562,6.733541949,1
26110,fish,raw fish,"surmullet or red mullet, steamed",6.5514783,0,0.33657517,1.2806785,0.045147566,0.094234908,8.308114444,2
26244,fish,raw fish,"surmullet or red mullet, fillet with skin, frozen, raw (from thailand or senegal)",5.3654111,0.46078456,0.26918334,1.3652074,0.066174622,0.025304288,7.55206531,1
26074,fish,raw fish,"nursehound or lesser spotted dogfish, raw",9.3555545,0,0.27564225,1.1741883,0.036974137,0.006687562,10.84904675,2
26153,fish,raw fish,"largehead hairtail, raw",9.3555545,0,0.27564225,1.1741883,0.036974137,0.006687562,10.84904675,2
26104,fish,raw fish,"john dory, raw",9.3555545,0,0.27564225,1.1741883,0.036974137,0.006687562,10.84904675,2
26065,fish,raw fish,"european pilchard or sardine, raw",0.71037021,0,0.27564225,0.90555681,0.036974137,0.006687562,1.935230969,1
26036,fish,raw fish,"salmon, raw, farmed",5.2222317,0.028870642,0.27564225,0.78427194,0.036974137,0.006687562,6.354678231,1
26111,fish,raw fish,"salema, raw",5.3654111,0,0.27564225,1.0488269,0.036974137,0.006687562,6.733541949,1
26210,fish,raw fish,"golden redfish, raw",9.3555545,0,0.27564225,1.1741883,0.036974137,0.006687562,10.84904675,2
26200,fish,raw fish,"tonguesole, raw",5.3654111,0,0.27564225,1.0488269,0.036974137,0.006687562,6.733541949,1
26058,fish,raw fish,"common sole, raw",5.3654111,0,0.27564225,1.0488269,0.036974137,0.006687562,6.733541949,1
26173,fish,raw fish,"european sprat, raw",0.71037021,0,0.27564225,0.90555681,0.036974137,0.006687562,1.935230969,1
26133,fish,raw fish,"pouting, raw",9.3555545,0,0.27564225,1.1741883,0.036974137,0.006687562,10.84904675,2
26064,fish,raw fish,"yellowfin tuna, raw",3.2937992,0,0.27564225,0.78735897,0.036974137,0.006687562,4.400462119,1
26076,fish,raw fish,"albacore, raw",7.2913297,0,0.27564225,0.78735897,0.036974137,0.006687562,8.397992619,2
26068,fish,raw fish,"skipjack tuna, raw",3.2716502,0,0.27564225,0.78735897,0.036974137,0.006687562,4.378313119,1
26053,fish,raw fish,"tuna, raw",3.2937992,0,0.27564225,0.78735897,0.036974137,0.006687562,4.400462119,1
27009,fish,raw fish,"rainbow trout, raw, farmed",5.4155702,0,0.27564225,0.90555681,0.036974137,0.006687562,6.640430959,1
26092,fish,raw fish,"sea trout, raw",5.4155702,0,0.27564225,0.90555681,0.036974137,0.006687562,6.640430959,1
