PRODUCT,AGRICULTURE,TRANSFORMATION,PACKAGING,TRANSPORT,SUPERMARKET AND DISTRIBUTION,CONSUMPTION,TOTAL IMPACT
"plant-based cheese, without soybean, prepacked, shredded",0.52170006,2.1122117,0.26266115,0.43476318,0.035573861,0.006687562,3.373597513
mix of unsalted grains/nuts and dried fruit,1.2577556,0.08536668,0.28154442,0.25831293,0.026314938,0,1.909294568
mix of unsalted grains/nuts and raisins,1.2577556,0.08536668,0.28154442,0.25831293,0.026314938,0,1.909294568
mix of salted grains/nuts and raisins,1.2577556,0.08536668,0.28154442,0.25831293,0.026314938,0,1.909294568
"cashew nut, grilled, salted",2.5970342,0.19450093,0.34916639,0.45265508,0.022706535,0,3.616063135
"amaranth, raw",0.74547357,0,0.26539933,0.13144131,0.016099476,0,1.158413686
"oat, raw",0.74050597,0,0.26539933,0.13144131,0.016099476,0,1.153446086
"quinoa, raw",5.434591,0,0.26539933,0.35484422,0.016099476,0,6.070934026
"wild rice, raw",2.1584034,0,0.26539933,0.31515769,0.018819926,0,2.757780346
"abondance cheese, from cow's milk",5.1182235,0.40534942,0.26266115,0.21150363,0.03557378,0.006687562,6.039999042
"asiago cheese, from cow's milk",5.0253753,0.41481283,0.26266115,0.21150363,0.03557378,0.006687562,5.956614252
"beaufort cheese, from cow's milk",5.2492875,0.39273154,0.26266115,0.21150363,0.03557378,0.006687562,6.158445162
"gex blue cheese, or jura blue cheese or septmoncel blue cheese, from cow's milk",4.8008352,0.24336023,0.26266115,0.21150363,0.03557378,0.006687562,5.560621552
"brie de meaux cheese, from cow's milk",4.3211643,0.27020143,0.26266115,0.21150363,0.03557378,0.006687562,5.107791852
"brie de melun cheese, from cow's milk",4.3781965,0.26706996,0.26266115,0.21150363,0.03557378,0.006687562,5.161692582
"brie cheese, from cow's milk",4.4912627,0.26080701,0.26266115,0.21150363,0.03557378,0.006687562,5.268495832
"camembert cheese, from cow's milk, from raw milk",4.456254,0.26259642,0.26266115,0.21150363,0.03557378,0.006687562,5.235276542
"camembert cheese, from cow's milk",4.456254,0.26259642,0.26266115,0.21150363,0.03557378,0.006687562,5.235276542
"cantal cheese, half matured, from cow's milk",4.9700701,0.42112177,0.26266115,0.21150363,0.03557378,0.006687562,5.907617992
"cantal, salers or laguiole cheese, from cow's milk",5.0231102,0.41560145,0.26266115,0.21150363,0.03557378,0.006687562,5.955137772
"chabichou cheese, from goat's milk",6.0613288,0.29397361,0.26266115,0.21150363,0.03557378,0.006687562,6.871728532
"chaource cheese, from cow's milk",4.1645447,0.29301645,0.26266115,0.21150363,0.03557378,0.006687562,4.973987272
"cheddar cheese, from cow's milk",5.3517794,0.38405675,0.26266115,0.21150363,0.03557378,0.006687562,6.252262272
"chevrot cheese, from goat's milk",5.4699796,0.29397361,0.26266115,0.21150363,0.03557378,0.006687562,6.280379332
"comte cheese, from cow's milk",5.3937181,0.37932504,0.26266115,0.21150363,0.03557378,0.006687562,6.289469262
"coulommiers cheese, from cow's milk",4.7049818,0.24828111,0.26266115,0.21150363,0.03557378,0.006687562,5.469689032
"crottin de chavignol cheese, from goat's milk",6.0613288,0.29397361,0.26266115,0.21150363,0.03557378,0.006687562,6.871728532
"crottin cheese, from goat's milk, from raw milk",7.0961898,0.29397361,0.26266115,0.21150363,0.03557378,0.006687562,7.906589532
"crottin cheese, from goat's milk",7.0961898,0.29397361,0.26266115,0.21150363,0.03557378,0.006687562,7.906589532
"edam cheese, from cow's milk",5.0089587,0.41639006,0.26266115,0.21150363,0.03557378,0.006687562,5.941774882
"emmental cheese, from cow's milk",5.2846775,0.38957707,0.26266115,0.21150363,0.03557378,0.006687562,6.190680692
"emmental cheese, grated, from cow's milk",5.3188116,0.3864226,0.26266115,0.21150363,0.03557378,0.006687562,6.221660322
"feta cheese, from ewe's milk",4.7479417,0.29397361,0.26266115,0.21150363,0.03557378,0.006687562,5.558341432
"fontina cheese, from cow's milk",4.445018,0.26349113,0.26266115,0.21150363,0.03557378,0.006687562,5.224935252
"fourme d'ambert cheese, from cow's milk",4.7213535,0.24783376,0.26266115,0.21150363,0.03557378,0.006687562,5.485613382
fourme de montbrison cheese,4.8321434,0.24157081,0.26266115,0.21150363,0.03557378,0.006687562,5.590140332
